a;b;c
Artmanov;160683;52609
Břevenec;159543;51465
Rozdrojovice;157615;49530
Na_Familiích;158025;49940
Nové_Pole;159814;51725
Karlovice_Zadní_Ves;160356;52267
Neslovice;157255;49163
Karolín;158103;50008
Vémyslice;156871;48770
Šatov;156138;48030
Stará_Komora;160523;52407
Bartultovice;160879;52763
Ladín;158750;50631
Pateřín;159043;50922
Velký_Valštejn;160626;52503
Tetčice;157340;49215
Suchá_Rudná;160201;52076
Ráječko;158061;49935
Nová_Dlouhá_Voda;160579;52452
Tvořihráz;156536;48407
Svinošice;157870;49728
Valchov;158305;50160
Bílá_Lhota;159070;50925
Morgenland;160089;51943
Ponikev;158801;50650
Velenov;158358;50198
Spálené;160503;52342
Řimice;159110;50949
Kuřim;157755;49594
Havraníky;156197;48025
Březína;158929;50757
Padochov;157233;49060
Hrubšice;157093;48911
Dobřínsko;156967;48785
Ztracená_Voda;160650;52467
Oslavany;157195;49010
Střemeníčko;158973;50787
M-Centrum;156339;48149
Hrabí;159079;50889
Nemrlov;159615;51423
Javoříčko;158953;50759
Hlivice;159307;51112
Rájec-Jestřebí;158115;49917
Dědinka;159377;51177
Dobřečov;159738;51535
Skřípov;158667;50461
Dzbel;158761;50553
Výrovice;156570;48361
Žďárský_Potok;159910;51694
Zadní_Újezd;159354;51138
Dolní_Libina;159546;51322
Lipůvka;157886;49659
Otročkov;158899;50671
Ludmírov;158852;50620
Kořenec;158497;50262
Vrbno_pod_Pradědem;160387;52149
Mostkov;159623;51380
Oskava;159665;51396
Jamolice;157031;48761
Palonín;159133;50858
Milonice;157975;49700
Pískov;159428;51149
Šubířov;158727;50440
Únanov;156483;48191
Višňové;156744;48451
Tulešice;156923;48621
Obectov;159102;50797
Úsov;159355;51032
Na_Karlově;158536;50212
Lipinka;159481;51150
Nová_Komora;160606;52273
Klemov;158187;49850
Moravičany;159222;50881
Svätý_Hubert;160241;51899
Němčičky;156615;48265
Ospělov;158935;50575
Klopina;159419;51058
Čebín;157802;49434
Zakřany;157346;48976
Veverská_Bítýška;157683;49311
Kapouňata;158533;50156
Boskovice;158360;49980
Úsobrno;158685;50289
Stavenice;159318;50921
Jeřmaň;159093;50685
Lukovany;157320;48894
Horní_Kounice;156883;48457
Horní_Libina;159648;51218
Přívěsť;158610;50162
Žádlovice;159187;50735
Sentice;157794;49340
Třeština;159348;50892
Rešice;156971;48514
Senorady;157198;48733
Obědné;159633;51157
Hluboké_Mašůvky;156556;48077
Bezděkov_u_Úsova;159473;50992
Dukovany;157060;48577
Holasice;157704;49220
Cetkovice;158652;50164
Horní_Krčmy;159245;50756
Lubě;158068;49578
Mramotice;156492;48000
Podmolí;156322;47820
Rohle;159552;51046
Dolní_Krčmy;159271;50752
Ketkovice;157309;48788
Skalice_nad_Svitavou;158340;49811
Litostrov;157518;48988
Vysoké_Popovice;157386;48855
Lažáanky;157693;49162
Javůrek;157618;49087
Plenkovice;156541;48007
Citonice;156429;47893
Janoslavice;159518;50981
Unín;158023;49474
Kordula;157002;48449
Domašov;157585;49031
Bačov;158484;49927
Dubicko;159450;50888
Vila;158470;49898
Mohelno;157165;48571
Klepáčov;160034;51437
Vranová_Lhota;159074;50476
Smelcovna;157656;49058
Tavíkovice;156908;48309
Železné;157951;49351
Svitávka;158406;49794
Hrabišín;159725;51109
Vacetín;159175;50550
Ratišovice;156790;48164
Vražné;158963;50334
Vyšehorky;159261;50628
Šemíkovice;156974;48341
Nová_Roveň;159032;50395
Tišnov;157916;49273
Hrabová;159505;50862
Vohančice;157829;49182
Strupšín;159644;50988
Milíčovice;156453;47797
Kuroslepy;157294;48630
Podolíčko;159319;50654
Sudice;157382;48715
Lipňany;157069;48398
Drnovice;158302;49627
Hraběšice;159925;51239
Sasina;158446;49752
Květín;159382;50687
Jarovice;159092;50381
Zboněk;158475;49758
Nový_Malín;159816;51096
Předklášteří;157928;49207
Velké_Opatovice;158760;50038
Vítošov;159553;50825
Štěchov;158247;49518
Lačnov;158240;49511
Dolní_Údolí;160769;52038
Zálesná_Zhoř;157601;48869
Lesní_Hluboké;157660;48920
Bušín;159209;50469
Šerkovice;158034;49290
Kladeruby_nad_Oslavou;157263;48515
Dolní_Brníčko;159650;50899
Horní_Břečkov;156448;47695
Kladoruby;158575;49821
Starý_Rejvíz;160717;51960
Sobotín;160033;51274
Víska_u_Jevíčka;158888;50123
Nelepeč;157895;49129
Řepová;159379;50609
Kochov;158610;49836
Deblín;157825;49039
Skočova_Lhota;158740;49949
Malá_Roudka;158725;49933
Zaisa;156412;47615
Úsuší;157871;49068
Řepka;158038;49235
Lesnice;159628;50824
Studená_Loučka;159259;50453
Valdenburk;160438;51627
Lhota_u_Lysic;158303;49490
Letovice;158551;49721
Mírovíček;159347;50515
Lhota_u_Letovic;158518;49684
Ludvíkov;157615;48775
Kozárov;158220;49376
Hostěrádky;156615;47771
Střemchoví;157959;49105
Novičí;158664;49789
Dolní_Studénky;159792;50913
Dolní_Loućky;157955;49076
Salisov;160887;52006
Krokočín;157581;48699
Touboř;158374;49488
Městečko_Trnávka;159070;50182
Vranovská_Ves;156645;47755
Zábludov;158530;49639
Vikýřovice;159929;51037
Kněževísko;158553;49656
Otmarov;157693;48791
Sudkov;159741;50835
Bezděčí_u_Velkých_Opatovic;158773;49863
Zahrada;158005;49089
Filipová;160181;51263
Otradice;157487;48565
Sychotín;158416;49491
Slatinka;158642;49716
Popůvky;157309;48382
Červenohorské_Sedlo;160399;51464
Rapotín;160035;51094
Synalov;158185;49242
Pobučí;159499;50556
Petrov_nad_Desnou;160005;51056
Horní_Loučky;157974;49024
Žipotín;159249;50296
Dlouhá_Hora;160654;51700
Jestřebíčko;159542;50586
Prosatín;157856;48898
Pulkov;156924;47963
Postřelmov;159704;50737
Kuřimské_Jestřabí;157909;48942
Šumperk;159889;50912
Ochoz_u_Tišnova;158162;49183
Velké_Losiny;160102;51122
Křoví;157779;48793
Zňátky;157414;48427
Roubanina;158769;49782
Starý_Maletín;159358;50367
Dolní_Bušínov;159467;50475
Mařín;158945;49952
Chebzí;160793;51799
Osiky;158260;49265
Kociánov;160258;51261
Vranová;158573;49574
Skrchov;158649;49648
Andělské_Žleby;160326;51325
Brumov;158280;49277
Rejhotice;160283;51275
Bahna;158708;49699
Pavlice;156709;47697
Gruna;159241;50228
Kuřimská_Nová_Ves;157906;48891
Šnekov;158916;49891
Vysutá;161039;52003
Pasíčka;160714;51678
Lupěné;159566;50525
Horní_Smržov;158778;49731
Malíkov;159139;50086
Nemile;159599;50542
Husle;158062;49004
Studený_Zejf;160855;51796
Skřib;158690;49631
Adolfovice;160638;51578
Stropešín;157293;48232
Beerhof;159413;50350
Pucov;157591;48522
Prklišov;159302;50230
Grešlové_Mýto;156738;47659
Lubné;157933;48826
Chromeč;159788;50681
Horákova_Lhota;158818;49704
Dlouhá_Loučka;159043;49924
Níhov;157893;48773
Jeseník;160734;51614
Maňová;158129;49001
Třesov;157377;48248
Jasenice;157626;48491
Prostřední_Poříčí;158631;49493
Naloučany;157546;48406
Přemyslov;160340;51194
Tišnovská_Nová_Ves;158028;48881
Bradlné;158714;49563
Chrastová_Lhota;158754;49602
Vyšehoří;159788;50635
Rejchartice;160090;50934
Žárová;160184;51026
Nový_Petřín;156428;47269
Rozsíčka;158567;49401
Janůvky;158949;49776
Myslibořice;157129;47954
Pekařov;160248;51070
Bratrušov;160030;50849
Litava;158113;48931
Horní_Rudná;158909;49722
Supíkovice;160953;51765
Petrušov;159420;50231
Bobrovník;160706;51515
Okarec;157459;48264
Rojetín;157973;48772
Horní_Bohdíkov;160209;51002
Moravská_Chrastová;158789;49580
Lázně_Jeseník;160773;51564
Radomilov;159889;50679
Dolní_Rudná;158897;49687
Plešice;157325;48112
Chlébské;158304;49086
Ústup;158608;49389
Svébohov;159744;50518
Moravská_Třebová;159225;49993
Študlov;158728;49495
Crhov;158544;49304
Velké_Kunětice;161031;51790
Brněnec;158808;49566
Strachovičky;161016;51773
Hrabenov;159933;50689
Starý_Petřín;156448;47202
Jazovice;156478;47230
Mansberk;158207;48950
Nedvědice;158262;49002
Chrastavec;158777;49509
Osová;157857;48583
Hoštejn;159598;50324
Častotice;157550;48273
Pusté_Žibřidovice;160290;51007
Alojzov;159975;50678
Udánky;159248;49950
Vratislávka;158037;48732
Březová_nad_Svitavou;158861;49554
Kopřivná;160148;50840
Holubí_Zhoř;157734;48423
Horní_Hynčina;158948;49634
Dolní_Bohdíkov;160032;50713
Stálky;156384;47054
Osová_Bítýška;157840;48505
Kasany;158334;48995
Příložany;157134;47788
Vidonín;158015;48667
Dolní_Vilémovice;157291;47932
Zadní_Alojzov;160491;51129
Komňátka;160038;50674
Koruna;159510;50145
Kovářová;158315;48948
Ujčov;158363;48993
Lhota_u_Olešnice;158543;49172
Vítějeves;158770;49396
Vaneč;157649;48274
Moravecké_Janovice;158116;48736
Brťoví;158500;49111
Deutsch_Biela;158848;49457
Moravecké_Pavlovice;158161;48769
Borky;158087;48695
Lamberk;158622;49229
Jedlí;159780;50384
Radišov;159373;49975
Radňoves;158044;48642
Pyšel;157602;48199
Pleče;160349;50945
Busin;159924;50514
Ves_Raškov;160106;50694
Horní_Studénky;159848;50436
Česká_Dlouhá;158914;49501
Přední_Alojzov;160480;51066
Mosazné_Hamry;160465;51043
Borovec;158437;49015
Nová_Červená_Voda;160991;51565
Ramzová;160623;51190
Tasov;157722;48284
Pozďatín;157554;48114
Horní_Lipová;160720;51276
Koroužné;158488;49043
Rudkov;160377;50929
Hanušovice;160258;50809
Stará_Červená_Voda;161054;51603
Býšovec;158321;48868
Bolešín;158534;49080
Hartíkov;159980;50524
Vikantice;160435;50978
Kunčina;159343;49883
Štědrákova_Lhota;160083;50612
Lavičné;158859;49387
Nové_Podhradí;160953;51469
Staré_Podhradí;160935;51449
Předměstí;158761;49270
Velké_Tresné;158638;49145
Tatenice;159587;50092
Pernštejnské_Janovice;158320;48819
Malé_Tresné;158611;49106
Dolní_Červená_Voda;161106;51598
Rokliny;161026;51516
Okrašovice;157391;47873
Oslava;157717;48185
Nové_Syrovice;156856;47320
Moravské_Budějovice;156967;47426
Banín;158930;49386
Kojatín;157576;48031
Zblovice;156665;47116
Šleglov;160561;51004
Věstínek;158606;49048
Věchnov;158398;48837
Jabloňov;157837;48269
Hlásnice;158759;49190
Mihoukovice;157665;48084
Březná;159915;50331
Věstín;158614;49020
Jackov;156910;47313
Vlaské;160286;50684
Petrůvky;157309;47707
Pozďátky;157452;47847
Zlatkov;158375;48768
Stachlovice;161148;51539
Vír;158584;48971
Vápenná;160907;51293
Cotkytle;159796;50172
Bratrušín;158447;48822
Strážek;158210;48580
Nimpšov;156872;47242
Uherčice;156522;46891
Vidnava;161191;51559
Koclířov;159252;49619
Valdíkov;157590;47956
Nová_Malá_Kraš;161178;51544
Hradec_nad_Svitavou;159077;49442
Manova_Lhota;158842;49202
Hrdá_Ves;158575;48932
Velký_Dešov;156750;47105
Fojtova_Kraš;161186;51538
Kundelov;157712;48061
Malý_Dešov;156727;47074
Horní_Libochová;158104;48447
Budišov;157668;48011
Vysoké_Pole;159323;49660
Kožichovice;157440;47766
Dolní_Rozsíčka;158264;48581
Herbortice;159795;50111
Kojatice;156796;47109
Žulová;160990;51296
Nyklovice;158732;49035
Čtyřicet_Lánů;159147;49450
Vojtíškov;160329;50623
Vratěnín;156493;46786
Litohoř;157014;47305
Kúsky;157932;48219
Korouhvice;158652;48936
Žichlínek;159629;49909
Nárameč;157646;47924
Velká_Kraš;161162;51439
Kobylá;161094;51371
Vysoký_Potok;160247;50519
Horní_Újezd;157257;47526
Hornice;156785;47041
Skorošice;160987;51242
Dolní_Radslavice;157916;48167
Štilfrýdek;159360;49603
Hodov;157741;47952
Osové;157841;48046
Nový_Rumburk;160577;50774
Hynčice_pod_Sušinou;160508;50704
Bílá_Voda;160053;50240
Svitavy;159219;49405
Pikarec;158184;48367
Sulkovec;158750;48929
Jívoví;158097;48272
Malá_Morava;160309;50482
Záhora;159862;50019
Vítochov;158615;48765
Rozsochy;158462;48603
Loukovice;157239;47380
Moravský_Lačnov;159286;49426
Horní_Orlice;160189;50320
Třebelovice;156871;46999
Dolní_Hedeč;160241;50366
Dolní_Jedlová;158888;49012
Rudíkov;157722;47838
Pocoucov;157576;47692
Český_Lačnov;159342;49455
Mastník;157377;47483
Anenská_Studánka;159519;49621
Velké_Meziříčí;157937;48037
Mladoňovice;156832;46931
Dolní_Les;161113;51211
Damníkov;159588;49681
Oslavička;157809;47901
Ubušínek;158754;48845
Vendolí;159167;49240
Košíře;159358;49430
Vojtovice;161033;51104
Koburk;159917;49986
Dolní_Třešňovec;159765;49832
Řípov;157492;47556
Stařeč;157433;47484
Nový_Valdek;159345;49392
Bobrůvka;158236;48281
Dolní_Bobrová;158318;48362
Balda;158966;49007
Vídeň;158055;48095
Radotice;156736;46770
Dalečín;158692;48720
Domamil;157066;47087
Halda;159901;49918
Horní_Bobrová;158336;48348
Starý_Valdek;159377;49388
Dolní_Morava;160392;50399
Baliny;157874;47870
Rancířov;156591;46580
Velká_Morava;160416;50403
Nový_Telečkov;157828;47815
Velké_Janovice;158681;48660
Borová_Krčma;159152;49130
Hroznatín;157753;47725
Sokolí;157526;47492
Dešná;156664;46628
Orličky;160101;50044
Dlouhé;158429;48369
Prostřední_Lipka;160322;50260
Horní_Lipka;160377;50311
Rokytnice_nad_Rokytnou;157390;47319
Hřibová;161113;51036
Trhonice;158830;48749
Horní_Bory;158164;48083
Horní_Čermná;159906;49823
Batouchovice;157798;47710
Krahulov;157513;47424
Horní_Vilémovice;157733;47642
Horní_Heřmanice;157854;47761
Račerovice;157597;47500
Nový_Rybník;159512;49413
Dolní_Bory;158165;48064
Marianská_Hora;159873;49769
Uhřínov;157919;47814
Nové_Vilémovice;161069;50964
Dolní_Boříkovice;160245;50132
Pavlinka;161276;51158
Dolní_Lipka;160305;50170
Bochovice;157827;47689
Bohdalec;158318;48179
Šeborov;157946;47806
Karle;159251;49094
Veverka;157421;47261
Jimramov;158839;48679
Rousměrov;158265;48098
Meziříčko;157150;46981
Radešínská_Svratka;158427;48255
Jimramovské_Pavlovice;158775;48601
Ves_Javorník;161280;51079
Pálovice;156818;46613
Gajer;159434;49227
Korouhev;158948;48737
Hvězdoňovice;157504;47287
Semanín;159582;49359
Pohořílky;157925;47702
Stránecká_Zhoř;158016;47782
Lašťovičky;158292;48052
Dolní_Čermná;159935;49694
Mendryka;159470;49222
Široké_Pole;158812;48558
Brlenka;159408;49152
Věcov;158772;48510
Nový_Jimramov;158831;48562
Štěměchy;157419;47144
Pokojovice;157503;47227
Okříšky;157585;47309
Chmelík;159275;48998
Čechtín;157738;47460
Suky;158321;48038
Polička;159087;48796
Jablonné_nad_Orlicí;160095;49802
Písečné;156688;46387
Záseka;158167;47865
Lichkov;160313;49998
Geršov;157974;47647
Verměřovice;160018;49688
Stanovník;160187;49857
Heraltice;157539;47192
Těchonín;160208;49854
Česká_Třebová;159694;49332
Sobkovice;160153;49785
Vysoký_Les;159251;48882
Nové_Město_na_Moravě;158597;48223
Horní_Dobrouč;159905;49528
Jimramovské_Paseky;158858;48471
Zdeňkov;157248;46860
Ostrov_nad_Oslavou;158358;47970
Obyčtov;158400;48005
Nové_Hobzí;156751;46346
Měřín;158058;47651
Parník;159737;49324
Předín;157435;47021
Číchov;157700;47283
U_Anděla;157342;46922
Lezník;159220;48800
Horní_Houžovec;159866;49425
Daňkovice;158893;48446
Zašovice;157626;47177
Strakov;159573;49100
Spělkov;158959;48483
Kuklík;158816;48339
Sazomín;158428;47943
Radňovice;158605;48105
Sněžné;158866;48365
Pohora;159267;48763
Bransouze;157768;47256
Znětinek;158303;47780
Nekoř;160178;49654
Široký_Důl;159187;48662
Šedivec;160153;49608
Pohodlí;159428;48883
Nová_Říše;157246;46691
Jiříkovice;158649;48094
Přívrat;159759;49191
Starý_Telečkov;158269;47696
Sedlatice;157415;46840
Vnorovice;156917;46331
Dobrohošť;157051;46465
Vlachovice;158710;48123
Stará_Říše;157375;46784
Dolní_Smrčné;157834;47238
Člupek;159674;49071
Lanšperk;159984;49366
Pokojov;158341;47720
Černovír;159949;49310
Osík;159499;48854
Hříšice;157131;46486
Valdštejn;160047;49399
Milovy;158935;48282
Pustá_Rybná;159072;48408
Rychlov;157708;47042
Městys_Bílá_Voda;161414;50747
Čihák;160449;49779
Panská_Lhota;157832;47160
Dolní_Vilímeč;157235;46561
Vržanov;157931;47253
Dolní_Újezd;159442;48764
Řetová;159827;49144
Brtnička;157559;46873
Vystrčenovice;157284;46591
Damašek;159096;48391
Řehořov;158074;47364
Urbaneč;156973;46247
Cizkrajov;156898;46169
Horní_Sloupnice;159748;49018
Ústí_nad_Orlicí;159916;49181
Slavonice;156792;46055
Nové_Veselí;158463;47726
Zrnětín;159335;48593
Dlouhá_Brtnice;157555;46813
Malé;157858;47111
Kornice;159656;48908
Hnátnice;160065;49316
Zakopanka;160308;49558
Nepomuky;157482;46719
Počítky;158684;47916
Malý_Pěčín;157144;46376
Toužín;157037;46257
Žďár_nad_Sázavou;158600;47818
Řikovice;159553;48771
Písečná;160144;49344
Zvolenovice;157322;46517
České_Křižánky;159007;48188
Věžnice;158102;47277
Léštnice;156743;45916
Slaviboř;157231;46393
Ořechov;157440;46596
Vidlatá_Seč;159475;48616
Hlavná;160095;49234
Paděrek;159408;48545
Komárovice;157873;47009
Vysoké_Studnice;158061;47190
Svatoslav;157940;47066
Prostřední_Libchavy;160033;49159
Kostelní_Vydří;157139;46265
Bartošovice;160526;49644
Uhřínovice;157824;46937
Luka_nad_Jihlavou;157997;47106
Stržanov;158720;47813
Dolní_Hamry;158608;47699
Bohuňovice;159705;48789
Nová_Sídla;159629;48712
Vrchní_Orlice;160580;49662
Nevcehle;157522;46603
Světnov;158786;47866
Dolní_Němčice;157109;46186
Brušovec;158957;48026
Česká_Mez;158557;47616
Horní_Libchavy;160062;49119
Urbanov;157486;46542
Křížánky;160150;49193
Prostřední_Vydří;157194;46236
Sirákov;158415;47455
Cikháj;158864;47902
Pustá_Kamenice;159220;48257
Rosička;158518;47550
Houkov;160350;49361
Na_Place;158959;47967
Šlakhamry;158631;47637
Prostředkovice;157738;46742
Puklice;157954;46952
Helvíkovice;160295;49293
Rviště;160031;49017
Svratouch;159118;48103
Jeclov;158034;47017
Poděšín;158425;47403
Rosice;157863;46838
Sudislav_nad_Orlicí;159966;48939
Cerekvice_nad_Loučnou;159676;48646
Volfířov;157142;46111
Telč;157389;46358
Stajiště;157631;46600
Český_Herálec;159010;47975
Sedlejov;157528;46487
Chotěšiny;159823;48781
Stálkov;156893;45847
Český_Rudolec;157019;45973
Hanička;160597;49540
Perná;159995;48934
Dobrotín;156782;45717
Pod_Horou;160204;49128
Kameničná;160385;49305
Panské_Pole;160590;49508
Suchá_Lhota;159607;48521
Nížkov;158504;47418
Záborná;158357;47270
Návary;156730;45638
Bradlo;158057;46964
Arnolec;156747;45650
Příluka;159568;48470
Svatý_Jiří;159910;48811
Kuchyně;159041;47922
Chlumětín;159128;48009
Bohousová;160280;49154
Rokytnice_v_Orlických_Horách;160527;49397
Lužánky;156767;45631
Krahulčí;157382;46244
Vílanec;157870;46730
Sopotnice;160189;49036
Malý_Beranov;158069;46913
Hostětice;157413;46242
Dolní_Radíkov;157044;45859
Rančířov;157960;46765
Voštice;159756;48559
Vitíněves;156902;45705
Perálec;159446;48240
Horní_Radíkov;157072;45860
Pěčín;160492;49274
Vanov;157465;46241
Hodice;157664;46440
Pořežín;158647;47421
Miřetín;159383;48156
Kosořín;159933;48701
Litice_nad_Orlicí;160278;49045
Kutřín;159427;48189
Vepří;158771;47532
Zářecká_Lhota;159978;48738
Lhoty;159083;47837
Rybná_nad_Zdobnicí;160348;49097
Doupě;157558;46304
Sudslava;160130;48859
Podrážek;159902;48631
Filipovské_Chaloupky;158319;47048
Vortová;159082;47809
Slatina_nad_Zdobnicí;160436;49160
Vepřová;158760;47482
Mrákotín;157406;46128
Třešť;157731;46446
Heroltice;158187;46894
Stříhanov;159689;48394
Popice_u_Jihlavy;157923;46625
Hemže;160035;48734
Hamernice;160559;49249
Česká_Jablonná;158543;47232
Dvořisko;159928;48600
Řásná;157507;46174
Potštejn;160263;48927
Choceň;160005;48669
Vojnův_Městec;158974;47635
Nebeská_Rybná;160609;49260
Hřiště;158676;47327
Konrac;156853;45500
Rysé;160696;49338
Přím;160540;49177
Koldín;160118;48755
Na_Karlově_Zámečku;158222;46843
Dobronín;158331;46950
Pokřikov;159350;47964
Brteč;159756;48366
Stupník;159183;47786
Sumrakov;157361;45961
Košinov;159071;47671
Vanice;159796;48395
Dolní_Věžnice;158453;47050
Starý_Pávov;158217;46811
Hradisko;160434;49019
Nová_Ves_nad_Lužnicí;156194;44777
Lhota_u_Skutče;159546;48127
Staré_Hory;158122;46698
Nový_Pávov;158237;46805
Skořenice;160100;48666
Pohoří_na_Šumavě;155534;44100
Artolec;156823;45389
Střemošice;159653;48216
Merklovice;160350;48912
Souvlastní;160674;49232
Svařeň;159752;48289
Medkovy_Kopce;159286;47821
Rajec;160170;48697
Zborná;158204;46721
Peklo_nad_Zdobnicí;160416;48933
Albeř;156888;45405
Žofina_Huť;156180;44696
Hybrálec;158169;46678
Staré_Ransko;158979;47487
Velký_Jeníkov;157272;45779
Vamberk;160376;48872
Skuteč;159499;47990
Chleny;160249;48731
Plandry;158144;46615
Pěšice;159741;48210
Dolní_Cerekev;157902;46370
Zdobnice;160763;49226
Rampuše;160667;49123
Jadrná;160912;49365
Peršíkov;158883;47332
Vítanov;159197;47645
Nová_Bystřice;156862;45309
Doudleby_nad_Orlicí;160344;48784
Rantířov;158106;46545
Kunčina_Ves;160719;49153
Horní_Pole;157464;45897
Horní_Meziříčko;157301;45734
Dolní_Prosetín;159467;47900
Zámrsk;159956;48386
Londýn;156446;44873
Příkazy;160326;48752
Šipnov;158174;46599
Vlčinec;160666;49088
Halámky;156330;44745
Voletice;159700;48113
Pfaffendorf;158583;46995
Drbalov;160568;48975
Pozovice;158453;46859
Starý_Rounek;158118;46522
Šejby;155923;44325
Plchovice;160144;48544
Utín;158677;47076
Lupenice;160425;48821
Přibylov;159559;47953
Skutíčko;159527;47919
Liberk;160637;49029
Železné_Horky;158835;47223
Vyskytná_nad_Jihlavou;158142;46524
Jasné_Pole;159192;47570
Štěnec;159782;48158
Nové_Ransko;159014;47387
Dvory_nad_Lužnicí;156329;44702
Vraclav;159898;48270
Leštinka;159505;47877
Klatovec;157512;45884
Trčkov;160967;49337
Štoky;158408;46766
Oudoleň;158910;47267
Nakolice;156147;44503
Mokrýšov;159456;47812
Horní_Babákov;159322;47677
Mravín;159816;48169
Střelcová;158724;47073
Hroubovice;159624;47972
Rzy;160016;48363
Mezina;160731;49075
Lozice;159733;48071
Milesimov;159204;47538
Janovičky;159974;48305
Trpnouze;156272;44601
Horní_Dvorce;157393;45722
Kozodry;160288;48613
Veveří;156052;44375
Dřeveš;159456;47773
Býkovec;157540;45852
Údavy;159153;47464
Na_Vysočině;158467;46776
Tisovec;159438;47744
Panská_Habrová;160590;48896
Rychnov_nad_Kněžnou;160521;48825
Vilémovské_Chaloupky;158285;46586
Mýtiny;156035;44336
Jedlov;158072;46372
Týnišťko;159996;48291
Tutleky;160429;48724
Panské_Dubenky;157502;45797
Strmilov;157307;45598
Vrbětice;159472;47757
Stradouň;159912;48197
Švábov;157787;46071
Vrbatův_Kostelec;159540;47823
Dlouhá_Stropnice;155977;44257
Zajíc;156522;44799
Zalažany;159785;48058
Ježená;158132;46397
Skřivánek;158508;46771
Kostelecká_Lhota;160346;48608
Velký_Uhřínov;160806;49067
Slágles;155968;44228
Mühlberg;155874;44129
Nový_Studenec;159105;47355
Hojná_Voda;155933;44182
Sopoty;159034;47278
Číčová;160226;48468
Jihlávka;157636;45877
Habroveč;159500;47739
Luisino_Údolí;160921;49158
Včelákov;159417;47653
Chacholice;159630;47854
Člunek;157157;45380
Hudeč;159130;47352
Tušť;156451;44671
Dolní_Pohleď;158732;46944
Pele;156681;44889
Nové_Hrady;156127;44335
Světví;156064;44271
Žíka;159993;48193
Korunka;160219;48417
Jaroslav;160039;48234
Odraneč;159109;47303
Štiptoň;156169;44362
Nový_Lokot;160519;48711
Dušejov;158108;46298
Lhota_u_Chroustovic;159822;48010
Debřece;160720;48904
Synkov;160463;48644
Prostý;157537;45714
Horní_Olešná;157504;45679
Velká_Čermná_nad_Orlicí;160259;48433
Horní_Stropnice;156036;44205
Slavíkov;159177;47342
Těšenov;157918;46082
Horní_Cerekev;157825;45983
Dolní_Jelení;160163;48318
Tři_Facky;156413;44567
Rapotice;155724;43866
Pankovsko;158148;46289
Humenice;156073;44214
Jilemník;158837;46976
Čekov;159476;47613
Trusnov;160000;48132
Trhová_Kamenice;159318;47448
Meziluží;155992;44118
Léskovec;157716;45842
Nová_Olešná;157362;45483
Synčany;159765;47884
Mnichová;160882;49000
Zubří;159287;47404
Proloh;160792;48909
Chroustovice;159858;47974
Větrný_Jeníkov;158322;46437
Uhořilka;158479;46593
Hraštice;160734;48848
Libel;160496;48607
Městec;159918;48023
Brčekoly;159793;47898
Zdelov;160322;48426
Jedlová_v_Orlických_Horách;160934;49037
Smrček;159579;47680
Česká_Olešná;157418;45514
Horní_Jelení;160157;48252
Příjemky;159028;47119
Konratice;155971;44061
Kačlehy;157148;45231
Zbinohy;158359;46441
Šerlich;161064;49143
Pohledští_Dvořáci;158775;46853
Deštné;160975;49050
Třebešov;160539;48612
Nový_Rychnov;158027;46099
Svébohy;156100;44167
Častolovické_Horky;160372;48439
Trsov;157966;46030
Ctětín;159457;47518
Zirnetschlag;155702;43758
Turovka;157781;45829
Krupín;159494;47535
Černov;157901;45942
Blažejov;157255;45289
Sekyrka;160848;48879
Studená_Voda;159625;47650
Dolní_Sokolovec;159125;47146
Barovice;159233;47252
Turov;159970;47985
Pilař;156628;44639
Kameničky;159356;47366
Podlíšťany;159531;47534
Zájezdec;159781;47781
Mirochov;156829;44826
Hrutkov;157179;45174
Dobkov;159030;47025
Močáry;158090;46083
Kalhov;158339;46324
Velešov;158340;46322
Ještětice;160716;48694
Trojovice;159785;47759
Občiny;158803;46773
Borohrádek;160313;48280
Božejov;156137;44103
Hoděčín;160526;48489
Bednáreček;157472;45432
Chotiv;160387;48346
Cholunná;157650;45609
Žirovnice;157610;45565
Šmolovy;158679;46633
Nehodovka;159255;47207
Dudín;158243;46193
Žiteč;156805;44748
Josefinská_Huť;157855;45796
Vížky;159595;47531
Veliny;160227;48161
Plasnice;161028;48962
Malíkov_nad_Nežárkou;157103;45034
Libice_nad_Doubravou;159184;47113
Vyskytná;158170;46097
Český_Dvůr;158827;46750
Bělešovice;159948;47864
Rohovka;157893;45806
Libořezy;156881;44794
Papšíkov;158735;46643
Hejště;158352;46260
Chotěboř;159106;47011
Tichá;155654;43558
Jindřiš;157278;45179
Šalmanovice;156434;44329
Malá_Střítež;159345;47240
Honbice;159787;47679
Velká_Střítež;159319;47205
Bukovsko;155745;43629
Hodonín;159478;47361
Velíška;155874;43756
Jakubín;157722;45595
Herálec;158499;46371
Hroška;160743;48614
Poděbaby;158728;46598
Cíhalka;161209;49079
Perknov;158771;46639
Knyk;158870;46736
Horní_Bradlo;159367;47233
Libanice;159776;47641
Výsonín;159618;47473
Obec;155726;43581
Příbraz;156964;44813
Kondrac;156103;43950
Jiterní_Ves;156452;44297
Dolní_Bradlo;159371;47216
Zastrání;159196;47037
Nabočany;159820;47661
Mikulášov;158428;46255
Mikoly;155741;43568
Klažary;156161;43987
Žďár_nad_Orlicí;160383;48208
Rodvínov;157347;45171
České_Lhotice;159510;47333
Platěnice;160034;47856
Pelestrov;158860;46680
Stíčany;159895;47714
